愛飲	あいいん	"애음, 즐겨 마심"	
温暖化	おんだんか	온난화	
御中	おんちゅう	"귀중, 귀하"	
温度	おんど	온도	
蚊	か	모기	
貝	かい	"조개, 조가비"	
害	がい	"해, 손해"	
会員	かいいん	회원	
開演	かいえん	"개연, 공연을 시작함"	
開花	かいか	개화	
絵画	かいが	회화	
開会	かいかい	개회	
海外	かいがい	해외	
会館	かいかん	회관	
会計	かいけい	회계	
開講	かいこう	개강	
会合	かいごう	회합	
外交	がいこう	외교	
開始	かいし	개시	
解釈	かいしゃく	해석	
海水浴	かいすいよく	해수욕	
回数	かいすう	횟수	
快晴	かいせい	쾌청	
回送	かいそう	회송	
開通	かいつう	개통	
改定	かいてい	개정	
回転	かいてん	회전	
外電	がいでん	"외신, 외전"	
街道	かいどう	"가도, 간선도로"	
街頭	がいとう	"가두, 길거리"	
街灯	がいとう	"가등, 가로등"	
外套	がいとう	외투	
該当	がいとう	해당	
外部	がいぶ	외부	
開封	かいふう	개봉	
開放	かいほう	개방	
解放	かいほう	해방	
海洋	かいよう	해양	
改良	かいりょう	개량	
概論	がいろん	개론	
家屋	かおく	가옥	
香り	かおり	"향기, 좋은 냄새"	
画家	がか	화가	
化学	かがく	화학	
係員	かかりいん	담당자	
書留	かきとめ	등기	
書き取り	かきとり	"베껴 씀, 받아쓰기"	
垣根	かきね	울타리	
書き物	かきもの	"문서, 글을 씀"	
～限り	～かぎり	~(인/하는) 한	
学	がく	학문	
各位	かくい	"각위, 여러분"	
学位	がくい	학위	
架空	かくう	가공	
格言	かくげん	격언	
各自	かくじ	각자	
学士	がくし	학사	
学者	がくしゃ	학자	
学術	がくじゅつ	학술	
各人	かくじん	각자	
各設	かくせつ	각각의 가설	
確認	かくにん	확인	
学年	がくねん	학년	
学問	がくもん	학문	
確率	かくりつ	확률	
学力	がくりょく	학력	
学歴	がくれき	학력	
陰	かげ	그늘	
影	かげ	그림자	
掛け算	かけざん	곱셈	
過去	かこ	과거	
かご		바구니	
火口	かこう	"화구, 화산의 분화구"	
化合	かごう	화합	
火災	かさい	화재	
飾り	かざり	"꾸밈, 장식"	
貸し	かし	빌려 줌	
家事	かじ	"가사, 집안일"	
過失	かしつ	과실	
果実	かじつ	"과실, 열매"	
貸間	かしま	셋방	
歌手	かしゅ	가수	
課税	かぜい	과세	
下線	かせん	밑줄	
加速	かそく	가속	
加速度	かそくど	가속도	
型	かた	"본, 거푸집, 틀, 형식"	
方々	かたがた	여러분	
刀	かたな	"칼, 검"	
かたまり		"덩어리, 뭉치"	
価値	かち	가치	
学科	がっか	학과	
学会	がっかい	학회	
学期	がっき	학기	
楽器	がっき	악기	
学級	がっきゅう	학급	
括弧	かっこ	괄호	
各国	かっこく	각국	
活字	かつじ	활자	
活用	かつよう	활용	
活力	かつりょく	활력	
課程	かてい	(교육) 과정	
過程	かてい	"과정, 프로세스"	
仮名	かな	가나(일본 문자)	
仮名遣い	かなづかい	かな 표기법	
鐘	かね	종	
加熱	かねつ	가열	
過半数	かはんすう	과반수	
かび		곰팡이	
株	かぶ	"그루, 포기, 주식"	
かま		"솥, 가마"	
神	かみ	신	
紙くず	かみくず	휴지	
かみそり		면도칼	
雷	かみなり	"천둥, 우레, 벼락"	
髪の毛	かみのけ	"머리털, 머리카락"	
歌謡	かよう	가요	
殻	から	"껍질, 껍데기"	
柄	がら	"몸집, 품위, 무늬"	
空っぽ	からっぽ	텅 빔	
かるた		"놀이딱지, 놀이카드"	
革	かわ	가죽	
為替	かわせ	외환	
かわら		기와	
缶	かん	"캔, 통조림"	
勘	かん	"직감, 육감"	
簡易	かんい	간이	
間隔	かんかく	간격	
換気	かんき	환기	
観客	かんきゃく	관객	
感激	かんげき	감격	
関西	かんさい	관서	
観察	かんさつ	관찰	
元日	がんじつ	"새해 첫날, 1월 1일"	
患者	かんじゃ	환자	
鑑賞	かんしょう	감상	
感情	かんじょう	감정	
間接	かんせつ	간접	
寒帯	かんたい	한대	
勘違い	かんちがい	착각	
缶詰	かんづめ	통조림	
乾電池	かんでんち	건전지	
関東	かんとう	관동	
感動	かんどう	감동	
監督	かんとく	감독	
乾杯	かんぱい	건배	
看板	かんばん	간판	
看病	かんびょう	간병	
冠	かんむり	(머리에 쓰는) 관	
関連	かんれん	관련	
緩和	かんわ	완화	
気圧	きあつ	기압	
議員	ぎいん	의원	
機械	きかい	기계	
器械	きかい	기계	
機会	きかい	기회	
議会	ぎかい	의회	
機関	きかん	기관	
機関車	きかんしゃ	기관차	
機関銃	きかんじゅう	기관총	
聞き取り	ききとり	듣고 이해함	
飢饉	ききん	기근	
器具	きぐ	기구	
期限	きげん	기한	
記号	きごう	기호	
生地	きじ	"옷감, 천"	
記事	きじ	기사	
技師	ぎし	"기사, 기술자"	
儀式	ぎしき	의식	
期日	きじつ	기일	
記者	きしゃ	기자	
規準	きじゅん	"규준, 규범, 기준"	
起床	きしょう	기상	
気性	きしょう	"기질, 성질"	
奇数	きすう	"기수, 홀수"	
帰宅	きたく	귀가	
基地	きち	기지	
議長	ぎちょう	의장	
貴重品	きちょうひん	귀중품	
喫茶	きっさ	차를 마심	
きつね		여우	
気迫	きはく	기백	
基盤	きばん	기반	
希望	きぼう	희망	
基本	きほん	기본	
記名	きめい	기명	
義務	ぎむ	의무	
逆	ぎゃく	"역, 반대"	
客席	きゃくせき	객석	
客間	きゃくま	"응접실, 객실"	
級	きゅう	"급, 등급, 단계"	
球	きゅう	"구, 공"	
休暇	きゅうか	휴가	
休学	きゅうがく	휴학	
休憩	きゅうけい	"휴게, 휴식"	
休講	きゅうこう	휴강	
休日	きゅうじつ	휴일	
吸収	きゅうしゅう	흡수	
急所	きゅうしょ	"급소, 핵심"	
救助	きゅうじょ	구조	
給与	きゅうよ	"급여, 급료"	
休養	きゅうよう	휴양	
教員	きょういん	"교원, 교사"	
強化	きょうか	강화	
境界	きょうかい	경계	
共学	きょうがく	공학	
教科書	きょうかしょ	교과서	
競技	きょうぎ	경기	
行儀	ぎょうぎ	"예의범절, 행동거지"	
供給	きょうきゅう	공급	
教材	きょうざい	교재	
教授	きょうじゅ	교수	
恐縮	きょうしゅく	"황송함, 죄송함"	
強調	きょうちょう	강조	
強風	きょうふう	강풍	
教養	きょうよう	교양	
行列	ぎょうれつ	행렬	
曲線	きょくせん	곡선	
霧	きり	안개	
規律	きりつ	"규율, 질서"	
気力	きりょく	"기력, 기백"	
きれ		"조각, 직물, 옷감"	
禁煙	きんえん	금연	
金魚	きんぎょ	금붕어	
金庫	きんこ	금고	
均衡	きんこう	균형	
禁止	きんし	금지	
近視	きんし	근시	
金銭	きんせん	금전	
金属	きんぞく	금속	
近代	きんだい	근대	
緊張	きんちょう	긴장	
筋肉	きんにく	근육	
勤務	きんむ	근무	
金融	きんゆう	금융	
句	く	"글귀, 구절"	
くい		말뚝	
空間	くうかん	공간	
偶数	ぐうすう	"우수, 짝수"	
空想	くうそう	공상	
空中	くうちゅう	공중	
区画	くかく	구획	
区間	くかん	구간	
くぎ		못	
区切り	くぎり	단락	
鎖	くさり	쇠사슬	
くし		빗	
くしゃみ		재채기	
苦心	くしん	고심	
くず		"쓰레기, 찌꺼기"	
薬指	くすりゆび	약지	
くせ		"버릇, 습관"	
管	くだ	"관, 대롱"	
具体化	ぐたいか	구체화	
下り	くだり	내려감	
唇	くちびる	입술	
口紅	くちべに	"입술 연지, 립스틱"	
苦痛	くつう	고통	
句読点	くとうてん	"구두점, 마침표와 쉼표"	
工夫	くふう	"궁리, 연구"	
区分	くぶん	구분	
区別	くべつ	구별	
組み合わせ	くみあわせ	"짜맞춤, 조합, 편성"	
位	くらい	"지위, 계급"	
暮らし	くらし	"살림, 생계, 일상생활"	
暮れ	くれ	"저묾, 저물 때"	
黒字	くろじ	흑자	
訓	くん	"훈, 가르침"	
軍	ぐん	"군, 군대"	
群	ぐん	"군, 무리, 떼"	
軍隊	ぐんたい	군대	
計	けい	"계, 합계"	
敬意	けいい	경의	
経営	けいえい	경영	
敬具	けいぐ	경구(편지 끝에 쓰는 말)	
稽古	けいこ	"(학문, 예능 따위를) 배움"	
敬語	けいご	경어	
傾向	けいこう	경향	
蛍光灯	けいこうとう	형광등	
警告	けいこく	경고	
掲載	けいさい	게재	
経済	けいざい	경제	
警察	けいさつ	경찰	
計算	けいさん	계산	
刑事	けいじ	형사	
毛糸	けいと	털실	
軽度	けいど	경도	
競馬	けいば	경마	
経費	けいひ	경비	
景品	けいひん	경품	
契約	けいやく	계약	
経由	けいゆ	경유	
形容詞	けいようし	형용사	
形容動詞	けいようどうし	형용동사	
毛皮	けがわ	모피	
劇	げき	극	
劇場	げきじょう	극장	
激増	げきぞう	"격증, 급증"	
下車	げしゃ	하차	
化粧	けしょう	화장	
下水	げすい	하수	
けた		(숫자의) 자릿수	
げた		나막신	
血液	けつえき	혈액	
月給	げっきゅう	월급	
傑作	けっさく	걸작	
決断	けつだん	결단	
決定	けってい	결정	
欠点	けってん	결점	
血統	けっとう	혈통	
月末	げつまつ	월말	
解熱	げねつ	해열	
検閲	けんえつ	검열	
原稿	げんこう	원고	
検索	けんさく	검색	
原産	げんさん	원산	
原始	げんし	원시	
現実	げんじつ	현실	
研修	けんしゅう	연수	
減少	げんしょう	감소	
現状	げんじょう	"현상, 현 상황"	
検診	けんしん	검진	
謙遜	けんそん	겸손	
建築	けんちく	건축	
建築家	けんちくか	건축가	
限度	げんど	한도	
現場	げんば	현장	
顕微鏡	けんびきょう	현미경	
憲法	けんぽう	헌법	
権利	けんり	권리	
原理	げんり	원리	
減量	げんりょう	감량	
原料	げんりょう	원료	
粉	こ・こな	"가루, 분말, 밀가루"	
語	ご	"말, 언어, 말씨"	
碁	ご	바둑	
恋	こい	"사랑, 연애"	
考案	こうあん	고안	
行為	こうい	행위	
合意	ごうい	합의	
工員	こういん	"공장 직원, 공장 노동자"	
幸運	こううん	행운	
公演	こうえん	공연	
効果	こうか	효과	
豪華	ごうか	호화	
公開	こうかい	공개	
工学	こうがく	공학	
交換	こうかん	교환	
航空	こうくう	항공	
光景	こうけい	광경	
工芸	こうげい	공예	
攻撃	こうげき	공격	
孝行	こうこう	"효행, 효도"	
交差	こうさ	교차	
鉱山	こうざん	광산	
口実	こうじつ	구실	
校舎	こうしゃ	"교사, 학교 건물"	
後者	こうしゃ	후자	
公衆	こうしゅう	공중	
工場	こうじょう・こうば	공장	
香水	こうすい	향수	
構成	こうせい	구성	
功績	こうせき	공적	
光線	こうせん	광선	
高速	こうそく	고속	
公団	こうだん	공단	
耕地	こうち	"경지, 경작지"	
交通機関	こうつうきかん	교통기관	
校庭	こうてい	교정	
肯定	こうてい	긍정	
高度	こうど	고도	
強盗	ごうとう	강도	
公認	こうにん	공인	
光熱費	こうねつひ	광열비	
効能	こうのう	효능	
後半	こうはん	후반	
公表	こうひょう	공표	
交付	こうふ	교부	
鉱物	こうぶつ	광물	
候補	こうほ	후보	
項目	こうもく	항목	
公用	こうよう	공용	
紅葉	こうよう・もみじ	단풍	
効用	こうよう	효용	
合理	ごうり	합리	
公立	こうりつ	공립	
交流	こうりゅう	교류	
合流	ごうりゅう	합류	
考慮	こうりょ	고려	
効力	こうりょく	효력	
高齢	こうれい	고령	
誤解	ごかい	오해	
語学	ごがく	어학	
呼吸	こきゅう	호흡	
故郷	こきょう	고향	
国王	こくおう	국왕	
国籍	こくせき	국적	
国定	こくてい	국정	
国土	こくど	국토	
告発	こくはつ	고발	
穀物	こくもつ	곡물	
国立	こくりつ	국립	
小言	こごと	잔소리	
心当たり	こころあたり	"짐작, 짐작 가는 곳"	
こじき		"거지, 비렁뱅이"	
こしょう		후추	
個性	こせい	개성	
国境	こっきょう	국경	
古典	こてん	고전	
琴	こと	거문고	
語頭	ごとう	어두	
言葉遣い	ことばづかい	"말씨, 말투"	
ことわざ		속담	
語尾	ごび	어미	
こぶ		혹	
こぶさた		"격조함, 무소식"	
小麦	こむぎ	밀	
小屋	こや	"작은 집, 오두막집"	
小指	こゆび	"새끼손가락, 새끼발가락"	
ご覧	ごらん	보심	
孤立	こりつ	고립	
紺	こん	"감색, 남색"	
根気	こんき	끈기	
今後	こんご	"앞으로, 이후"	
混合	こんごう	혼합	
根性	こんじょう	근성	
献立	こんだて	"식단, 메뉴"	
今日	こんにち	"금일, 오늘날"	
婚約	こんやく	약혼	
差	さ	"차, 차이"	
際	さい	"때, 기회, 경우"	
在学	ざいがく	재학	
在庫	ざいこ	재고	
財産	ざいさん	재산	
祭日	さいじつ	국경일	
再生	さいせい	재생	
最善	さいぜん	최선	
最大	さいだい	최대	
最低	さいてい	최저	
採点	さいてん	채점	
災難	さいなん	재난	
再発	さいはつ	재발	
裁縫	さいほう	"재봉, 바느질"	
材木	ざいもく	"재목, 목재"	
採用	さいよう	채용	
境	さかい	"경계, 갈림길"	
酒場	さかば	"술집, 주점"	
盛り	さかり	한창(때)	
さきおととい		그끄저께	
先々	さきざき	"먼 장래, 도처"	
索引	さくいん	색인	
作者	さくしゃ	작자	
作製	さくせい	"제작, 만듦"	
作物	さくもつ	"작물, 농작물"	
さじ		숟가락	
座敷	ざしき	"다다미방, 객실"	
刺身	さしみ	생선회	
札	さつ	지폐	
雑音	ざつおん	잡음	
作家	さっか	작가	
札束	さつたば	"돈다발, 돈뭉치"	
砂漠	さばく	사막	
さび		녹	
座布団	ざぶとん	방석	
左右	さゆう	"좌우, 좌지우지"	
猿	さる	원숭이	
騒ぎ	さわぎ	"소동, 소란"	
参観	さんかん	참관	
賛成	さんせい	찬성	
酸性	さんせい	산성	
酸素	さんそ	산소	
山林	さんりん	산림	
詩	し	시	
仕上がり	しあがり	"완성, 됨됨이"	
仕上げ	しあげ	"마무리, 완성"	
しあさって		글피	
自衛	じえい	자위	
視界	しかい	"시계, 시야"	
四角	しかく	"사각형, 네모꼴"	
資格	しかく	자격	
式	しき	식	
四季	しき	"사계, 사계절, 사철"	
時期	じき	"시기, 때"	
敷地	しきち	"부지, 대지"	
支給	しきゅう	지급	
事業	じぎょう	사업	
資源	しげん	자원	
自己	じこ	자기	
事項	じこう	사항	
視察	しさつ	시찰	
自殺	じさつ	자살	
持参	じさん	지참	
事実	じじつ	사실	
磁石	じしゃく	자석	
始終	しじゅう	"시종일관, 자초지종"	
自習	じしゅう	자습	
支出	ししゅつ	지출	
市場	しじょう	시장	
詩人	しじん	시인	
自身	じしん	"자신, 자기"	
自信	じしん	자신	
地震	じしん	지진	
事前	じぜん	사전	
自然科学	しぜんかがく	자연과학	
思想	しそう	사상	
時速	じそく	시속	
持続	じぞく	지속	
子孫	しそん	자손	
死体	したい	"사체, 시체"	
次第	しだい	순서	
事態	じたい	사태	
字体	じたい	서체	
下書き	したがき	"초고, 초안"	
自宅	じたく	자택	
下町	したまち	번화가	
自治	じち	자치	
室	しつ	방	
質	しつ	질	
実感	じっかん	실감	
湿気	しっけ	습기	
実現	じつげん	실현	
実験	じっけん	실험	
実習	じっしゅう	실습	
実地	じっち	"현장, 실제"	
執筆	しっぴつ	집필	
実物	じつぶつ	실물	
しっぽ		꼬리	
実務	じつむ	실무	
実例	じつれい	"실례, 실제 사례"	
失恋	しつれん	실연	
指定	してい	지정	
私鉄	してつ	"사철, 민간 철도"	
芝居	しばい	"연극, 연기"	
始発	しはつ	"시발, 처음 떠남, 처음 생김"	
死亡	しぼう	사망	
芝生	しばふ	잔디밭	
地盤	じばん	지반	
紙幣	しへい	지폐	
資本	しほん	자본	
しま		줄무늬	
しまい		"끝, 마지막"	
姉妹	しまい	자매	
事務	じむ	사무	
使命	しめい	사명	
地面	じめん	지면	
霜	しも	서리	
下	しも	"아래, 밑 하류"	
社会科学	しゃかいかがく	사회과학	
蛇口	じゃぐち	수도꼭지	
車庫	しゃこ	차고	
車掌	しゃしょう	차장	
写生	しゃせい	사생	
社説	しゃせつ	사설	
借金	しゃっきん	빚	
しゃっくり		딸꾹질	
車輪	しゃりん	"차륜, 수레 바퀴"	
じゃんけん		가위바위보	
週	しゅう	"주, 7일간"	
州	しゅう	주(행정구역의 하나)	
銃	じゅう	총	
集会	しゅうかい	집회	
習慣	しゅうかん	"습관, 관습"	
住居	じゅうきょ	주거	
宗教	しゅうきょう	종교	
集金	しゅうきん	수금	
集計	しゅうけい	집계	
集合	しゅうごう	집합	
習字	しゅうじ	"습자, 글자 쓰기를 익힘"	
修正	しゅうせい	수정	
修繕	しゅうぜん	"수선, 수리"	
充足	じゅうそく	충족	
重体	じゅうたい	중태	
住宅	じゅうたく	주택	
じゅうたん		"융단, 양탄자"	
集中	しゅうちゅう	집중	
終点	しゅうてん	종점	
重点	じゅうてん	중점	
就任	しゅうにん	취임	
周辺	しゅうへん	주변	
住民	じゅうみん	주민	
修了	しゅうりょう	수료	
重量	じゅうりょう	중량	
重力	じゅうりょく	중력	
主演	しゅえん	주연	
主観	しゅかん	주관	
主義	しゅぎ	주의	
熟語	じゅくご	숙어	
祝日	しゅくじつ	국경일	
縮小	しゅくしょう	축소	
主語	しゅご	주어	
手術	しゅじゅつ	수술	
首相	しゅしょう	수상	
主食	しゅしょく	주식	
主人公	しゅじんこう	주인공	
主体	しゅたい	주체	
主題	しゅだい	주제	
主張	しゅちょう	주장	
出演	しゅつえん	출연	
出勤	しゅっきん	출근	
出血	しゅっけつ	출혈	
出現	しゅつげん	출현	
述語	じゅつご	"술어, 서술어"	
出産	しゅっさん	출산	
出社	しゅっしゃ	출근	
出場	しゅつじょう	출장	
出生	しゅっしょう	출생	
出題	しゅつだい	출제	
出動	しゅつどう	출동	
出費	しゅっぴ	"출비, 지출"	
出品	しゅっぴん	출품	
主任	しゅにん	주임	
主婦	しゅふ	주부	
需要	じゅよう	수요	
主力	しゅりょく	주력	
受話器	じゅわき	수화기	
瞬間	しゅんかん	순간	
循環	じゅんかん	순환	
巡査	じゅんさ	순경	
順序	じゅんじょ	순서	
純情	じゅんじょう	순정	
順番	じゅんばん	"순번, 순서, 차례"	
仕様	しよう	"방법, 도리"	
使用	しよう	사용	
賞	しょう	상	
章	しょう	장	
上位	じょうい	상위	
上映	じょうえい	상영	
上演	じょうえん	상연	
消化	しょうか	소화	
障害	しょうがい	"장해, 장애"	
将棋	しょうぎ	장기	
定規	じょうぎ	"자, 기준"	
上京	じょうきょう	상경	
賞金	しょうきん	상금	
上空	じょうくう	"상공, 하늘"	
上下	じょうげ	상하	
衝撃	しょうげき	충격	
条件	じょうけん	조건	
正午	しょうご	정오	
詳細	しょうさい	자세한 내용	
障子	しょうじ	"장지, 미닫이(문)"	
常識	じょうしき	상식	
商社	しょうしゃ	상사	
乗車券	じょうしゃけん	승차권	
上旬	じょうじゅん	상순	
情勢	じょうせい	정세	
状態	じょうたい	상태	
上達	じょうたつ	"기능이 향상됨, 숙달"	
冗談	じょうだん	농담	
消毒	しょうどく	소독	
使用人	しようにん	"피고용인, 이용자"	
商人	しょうにん	상인	
勝敗	しょうはい	승패	
商売	しょうばい	장사	
蒸発	じょうはつ	증발	
消費者	しょうひしゃ	소비자	
商品	しょうひん	상품	
勝負	しょうぶ	"승부, 승패"	
小便	しょうべん	소변	
消防	しょうぼう	소방	
正味	しょうみ	"알맹이, 정량, 실제"	
正面	しょうめん	정면	
消耗	しょうもう	소모	
将来	しょうらい	장래	
勝利	しょうり	승리	
初級	しょきゅう	초급	
助教授	じょきょうじゅ	조교수	
職	しょく	"직, 직책"	
職員	しょくいん	직원	
食塩	しょくえん	식염	
食卓	しょくたく	식탁	
職人	しょくにん	"직공, 장인"	
植物	しょくぶつ	식물	
食物	しょくもつ	"식품, 음식물"	
食料	しょくりょう	"식품, 식대, 식비"	
食糧	しょくりょう	식량	
書斎	しょさい	서재	
助手	じょしゅ	"조수, (대학) 조교"	
初旬	しょじゅん	"초순, 상순"	
書籍	しょせき	서적	
所属	しょぞく	소속	
書道	しょどう	"서도, 서예"	
所得	しょとく	소득	
書物	しょもつ	"서책, 책, 도서"	
白髪	しらが	백발	
知らせ	しらせ	"알림, 통지"	
調べ	しらべ	"조사, 심문"	
尻	しり	엉덩이	
自立	じりつ	자립	
汁	しる	"즙, 물"	
印	しるし	"표시, 표지"	
城	しろ	성	
素人	しろうと	"초심자, 풋내기"	
しわ		"주름, 구김살"	
芯	しん	"심, 심지"	
人格	じんかく	인격	
心境	しんきょう	"심경, 마음"	
真空	しんくう	진공	
神経	しんけい	신경	
信仰	しんこう	신앙	
進行	しんこう	진행	
人工	じんこう	인공	
申告	しんこく	신고	
人材	じんざい	인재	
診察	しんさつ	진찰	
人事	じんじ	인사	
信者	しんじゃ	신자	
進出	しんしゅつ	진출	
心身	しんしん	심신	
親戚	しんせき	친척	
新設	しんせつ	새로운 학설	
人造	じんぞう	인조	
寝台	しんだい	침대	
振動	しんどう	진동	
進入	しんにゅう	진입	
侵入	しんにゅう	침입	
審判	しんぱん	심판	
人物	じんぶつ	인물	
人文科学	じんぶんかがく	인문과학	
進歩	しんぽ	진보	
人命	じんめい	인명	
新友	しんゆう	"친우, 친한 벗"	
心理	しんり	심리	
森林	しんりん	"삼림, 숲"	
親類	しんるい	"친척, 일가"	
人類学	じんるいがく	인류학	
針路	しんろ	"항로, 진로"	
神話	しんわ	신화	
酢	す	"초, 식초"	
図	ず	"그림, 도면"	
水産	すいさん	수산	
炊事	すいじ	취사	
水準	すいじゅん	수준	
水蒸気	すいじょうき	수증기	
水素	すいそ	수소	
推定	すいてい	추정	
水筒	すいとう	수통	
随筆	ずいひつ	수필	
水分	すいぶん	수분	
水平	すいへい	수평	
水平線	すいへいせん	수평선	
睡眠	すいみん	"수면, 잠"	
水面	すいめん	수면	
末	すえ	"끝, 마지막"	
末っ子	すえっこ	막내	
姿	すがた	"모습, 자태, 모양"	
図鑑	ずかん	도감	
杉	すぎ	삼나무	
好き嫌い	すききらい	"호불호, 좋고 싫음"	
好き好き	すきずき	각자의 기호	
隙間	すきま	"(빈) 틈, 겨를, 짬"	
図形	ずけい	도형	
筋	すじ	"줄기, 줄거리, 힘줄"	
鈴	すず	방울	
頭痛	ずつう	두통	
頭脳	ずのう	두뇌	
図表	ずひょう	"도표, 그래프"	
相撲	すもう	스모(일본 씨름)	
寸法	すんぽう	"길이, 치수"	
生	せい	"생, 삶"	
姓	せい	"성, 성씨"	
性	せい	"성질, 성격, 성"	
正	せい	"올바름, 정도"	
税	ぜい	"세, 세금"	
正解	せいかい	정답	
