挨拶	あいさつ	인사
場所	ばしょ	장소
恥ずかしい	はずかしい	부끄럽다
パソコン		컴퓨터
発音	はつおん	발음
はっきり		"똑똑히, 명확히"
母親	ははおや	"모친, 어머니"
林	はたし	숲
払う	はらう	지불하다
バレーボール		배구
番組	ばんぐみ	방송 프로그램
反対	はんたい	반대
冷える	ひえる	"차가워지다, 식다"
光	ひかり	빛
光る	ひかる	빛나다
引き出し	ひきだし	"서랍, 예금 인출"
引っ越し	ひっこし	이사
引っ越す	ひっこす	이사하다
必要な	ひつような	필요한
開く	ひらく	열리다
昼	ひる	낮
ビル		빌딩
昼ご飯	ひるごはん	점심밥
昼頃	ひるごろ	정오 무렵
昼休み	ひるやすみ	점심시간
拾う	ひろう	줍다
広場	ひろば	광장
深い	ふかい	깊다
服	ふく	옷
太い	ふとい	굵다
太る	ふとる	살찌다
不便な	ふべんな	불편한
踏まれる	ふまれる	밟히다
冬	ふゆ	겨울
プレゼント		선물
文	ぶん	글
文学	ぶんがく	문학
部屋	へや	방
勉強	べんきょう	공부
返事	へんじ	"대답, 답장"
貿易	ぼうえき	무역
放送	ほうそう	방송
翻訳	ほんやく	번역
負ける	まける	지다
まじめな		"착실한, 성실한"
または		또는
町	まち	"마을, 도시, 시내"
間に合う	まにあう	"곧장, 똑바로"
見つかる	みつかる	발견되다
港	みなと	항구
迎える	むかえる	"마중하다, 맞이하다"
村	むら	"마을, 도시, 시내"
珍しい	めずらしい	희귀하다
森	もり	숲
問	もん	문
問題	もんだい	문제
役	やく	"역할, 구실"
約束	やくそく	약속
役に立つ	やくにたつ	도움이 되다
やっと		겨우
やっぱり		역시
山道	やまみち	산길
やむ		"그치다, 멎다"
辞める	やめる	"끊다, 그만두다"
柔らかい	やわらかい	부드럽다
夕方	ゆうがた	저녁 때
夕飯	ゆうはん	저녁밥
輸出	ゆしゅつ	수출
夢	ゆめ	꿈
揺れる	ゆれる	흔들리다
用意	ようい	준비
用事	ようじ	"볼일, 용무"
洋服	ようふく	"양복, 옷"
予習	よしゅう	예습
予定	よてい	"예정, 일정"
予約	よやく	예약
寄る	よる	들리다
喜ぶ	よろこぶ	기뻐하다
理由	りゆう	이유
利用	りよう	이용
旅館	りょかん	여관
ルール		"룰, 규칙"
留守	るす	"부재중, 집을 비움"
冷房	れいぼう	냉방
レジ		"금전 출납계, 레지스터"
レポート		리포트
連絡	れんらく	연락
沸かす	わかす	끓이다
別れる	わかれる	헤어지다
沸く	わく	끓다
私	わたし、わたくし	"나, 저"
割れる	われる	깨지다
