挨拶	あいさつ	인사
完了	かんりょう	완료
記憶	きおく	기억
機会	きかい	기회
企画	きかく	기획
気軽に	きがるに	"선뜻, 가벼운 마음으로"
効く	きく	"약효가 듣다, 효과가 있다"
危険	きけん	위험
機嫌	きげん	"기분, 심기"
期限切れ	きげんぎれ	기한이 다 됨
危険性	きけんせい	위험성
気候	きこう	기후
岸	きし	"물가, 절벽, 벼랑"
気事	きじ	기사
技術	ぎじゅつ	기술
規制	きせい	규제
帰省	きせい	귀성
競う	きそう	"겨루다, 경쟁하다"
貴重な	きちょうな	귀중한
切っ掛け	きっかけ	"계기, 동기"
喫茶店	きっさてん	"찻집, 카페"
ぎっしり		"가득, 잔뜩, 빽빽이"
きっぱり		"딱 잘라, 단호히"
きつい		꽉 끼다
気に入る	きにいる	마음에 들다
記入	きにゅう	기입
機能	きのう	기능
寄付	きふ	기부
規模	きぼ	규모
決まる	きまる	"결정되다, 정해지다"
奇妙な	きみょうな	기묘한
疑問	ぎもん	의문
客	きゃく	손님
キャンパス		"캠퍼스, (대학) 교정"
求人	きゅうじん	구인
旧制度	きゅうせいど	구 제도
休息	きゅうそく	휴식
牛乳	ぎゅうにゅう	우유
共感	きょうかん	공감
器用な	きような	손재주가 있는
教育	きょういく	교육
教師	きょうし	교사
行事	ぎょうじ	행사
競争	きょうそう	경쟁
共通	きょうつう	공통
共同	きょうどう	공동
恐怖	きょうふ	공포
協力	きょうりょく	협력
許可	きょか	허가
漁業	ぎょぎょう	어업
極端	きょくたん	극단
巨大な	きょだいな	거대한
拒否	きょひ	거부
距離	きょり	거리
ぎりぎり		"아슬아슬함, 빠듯한"
記録	きろく	기록
議論	ぎろん	의논
～際	～ぎわ	~할 때
気をつける	きをつける	"조심하다, 주의하다"
金額	きんがく	금액
禁止	きんし	금지
区域	くいき	구역
空港	くうこう	공항
偶然	ぐうぜん	우연히
靴	くつ	"신발, 구두"
苦情	くじょう	"불평, 불만"
くたくた		녹초가 됨
くたびれる		지치다
ぐちを言う	ぐちをいう	푸념을 하다
ぐったり		"녹초가 됨, 늘어짐"
くどい		"장황하다, 지긋지긋하다"
雲	くも	구름
悔しい	くやしい	분하다
悔やむ	くやむ	"후회하다, 애석하게 여기다"
暮らす	くらす	"살다, 생활하다"
包む	くるむ	"감싸다, 둘러싸다"
くれぐれも		아무쪼록
暮れる	くれる	(날이) 저물다
苦労	くろう	고생
詳しい	くわしい	"상세하다, 자세하다"
訓練	くんれん	훈련
経営	けいえい	경영
景気	けいき	경기
契機	けいき	"계기, 동기"
掲示	けいじ	게시
形式	けいしき	형식
軽傷	けいしょう	경상
継続	けいぞく	계속
系統	けいとう	계통
芸能	げいのう	예능
警備	けいび	경비
景色	けしき	경치
下旬	げじゅん	하순
削る	けずる	"깎다, 삭감하다"
結果	けっか	결과
欠陥	けっかん	결함
結婚観	けっこんかん	결혼관
欠点	けってん	결점
結論	けつろん	결론
気配	けはい	"기색, 기미"
煙	けむり	연기
険しい	けわしい	"험악하다, 험상궂다"
原因	げんいん	원인
見解	けんかい	견해
限界	げんかい	한계
健康	けんこう	건강
検査	けんさ	검사
現実離れ	げんじつばなれ	현실과 동떨어짐
現社長	げんしゃちょう	현 사장
現象	げんしょう	현상
研修	けんしゅう	연수
厳重な	げんじゅうな	엄중한
建設	けんせつ	건설
現段階	げんだんかい	현 단계
県庁	けんちょう	현청
限定	げんてい	한정
見当	けんとう	"예측, 짐작"
濃い	こい	"짙다, 진하다"
強引な	ごういんな	"반대를 무릅쓰는, 억지부리는"
講演	こうえん	강연
硬貨	こうか	"금속화폐, 동전"
郊外	こうがい	교외
公害	こうがい	공해
講義	こうぎ	강의
貢献	こうけん	공헌
交差点	こうさてん	교차로
講師	こうし	강사
高収入	こうしゅうにゅう	고수입
高水準	こうすいじゅん	높은 수준
高性能	こうせいのう	고성능
高層	こうそう	고층
構造	こうぞう	구조
交代	こうたい	교대
好調	こうちょう	"호조, 순조, 좋은 상태임"
行動	こうどう	행동
合同	ごうどう	합동
鉱物	こうぶつ	광물
声	こえ	(목)소리
越える	こえる	"넘다, 초월하다"
ご遠慮なく	ごえんりょなく	사양 않고
氷	こおり	얼음
凍る	こおる	얼다
小柄な	こがらな	몸집이 작은
故郷	こきょう	고향
国際	こくさい	국제
国際色	こくさいしょく	국제색
克服	こくふく	극복
ご苦労様	ごくろうさま	수고하셨습니다
焦げる	こげる	"타다, 눋다"
心強い	こころづよい	마음 든든하다
快い	こころよい	"상쾌하다, 유쾌하다, 즐겁다"
腰	こし	허리
個人的な	こじんてきな	개인적인
ごちゃごちゃ		"어지러이 뒤섞임, 너저분한 모양"
こつこつ		꾸준히 노력하는 모양
骨折	こっせつ	골절
小包	こづつみ	소포
異なる	ことなる	다르다
子供連れ	こどもづれ	아이 동반
断る	ことわる	거절하다
困る	こまる	"곤란하다, 어려움을 겪다"
コミュニケーション		"커뮤니케이션, 의사 전달"
娯楽	ごらく	오락
ごろごろ		"뒹굴뒹굴, 데굴데굴"
怖い	こわい	무섭다
コンクール		"콩쿠르, 경연 대회"
混乱	こんらん	혼란
～際	～さい	~때
最高	さいこう	최고
再開発	さいかいはつ	재개발
再三	さいさん	"재삼, 여러 번"
催促	さいそく	재촉
再提出	さいていしゅつ	재제출
在籍	ざいせき	재적
再度	さいど	"재차, 다시"
才能	さいのう	재능
栽培	さいばい	재배
裁判	さいばん	재판
財布	さいふ	지갑
再放送	さいほうそう	재방송
最有力	さいゆうりょく	가장 유력함
再利用	さいりよう	재사용
幸いな	さいわいな	다행스러운
サイン		"사인, 서명"
坂	さか	언덕
探す	さがす	찾다
逆らう	さからう	"거스르다, 거역하다"
作業	さぎょう	작업
咲く	さく	(꽃이) 피다
削除	さくじょ	삭제
作成	さくせい	작성
作品集	さくひんしゅう	작품집
酒	さけ	술
叫ぶ	さけぶ	"외치다, 부르짖다"
ささやく	ささやく	속삭이다
差し支え	さしつかえ	"지장, 장애"
差し支える	さしつかえる	지장이 있다
誘う	さそう	(같이 하길) 권하다
定める	さだめる	"정하다, 결정하다"
撮影	さつえい	촬영
さっさと		빨리빨리
雑誌	ざっし	잡지
雑談	ざつだん	잡담
さっぱり		상쾌함
さて		그건 그렇고
寒い	さむい	춥다
覚める	さめる	"잠이 깨다, 눈이 뜨이다"
参加	さんか	참가
参照	さんしょう	참조
残念な	ざんねんな	유감인
さびる		녹슬다
差別	さべつ	차별
作法	さほう	예의 범절
サンプル		"샘플, 견본"
散歩	さんぽ	산책
参考	さんこう	참고
仕上げる	しあげる	일을 끝내다
寺院	じいん	사원
司会	しかい	"(행사, 결혼식 등의) 사회"
直に	じかに	직접
時間をつぶす	じかんをつぶす	시간을 때우다
じきに		"바로, 곧"
至急	しきゅう	"시급, 급히"
敷く	しく	깔다
刺激	しげき	자극
事件	じけん	사건
取り掛かる	とりかかる	"착수하다, 시작하다"
支持	しじ	지지
指示	しじ	지시
四捨五入	ししゃごにゅう	"반올림, 사사오입"
自身	じしん	자신
地震	じしん	지진
沈む	しずむ	"가라앉다, 지다"
シーズン		"시즌, 시기, 철"
姿勢	しせい	자세
辞退	じたい	사퇴
次第に	しだいに	점차
従う	したがう	따르다
じたばた		"바둥바둥, 발버둥"
しつこい		"집요하다, 끈질기다"
実施	じっし	실시
実践	じっせん	실천
質素な	しっそな	검소한
湿度	しつど	습도
じっと		"꼼짝 않음, 가만히 있음"
実に	じつに	실로
失敗	しっぱい	"실패, 실수"
失望	しつぼう	실망
指導	しどう	지도
児童	じどう	아동
支配	しはい	지배
しびれる		"마비되다, 저리다"
自分勝手な	じぶんかってな	제멋대로인
絞る	しぼる	"조이다, (쥐어)짜다"
島	しま	섬
仕舞う	しまう	"정리하다, 치우다"
地味な	じみな	"수수한, 검소한"
染みる	しみる	"배다, 스며들다"
事務所	じむしょ	사무소
締め切り	しめきり	마감(일)
占める	しめる	"(비율, 자리 등을) 차지하다"
湿る	しめる	"축축해지다, 습기 차다"
地元	じもと	"그 지역, 그 고장, 연고지"
視野	しや	시야
弱点	じゃくてん	약점
しゃべる		"이야기하다, 수다를 떨다"
邪魔	じゃま	"방해, 거추장스러움"
周囲	しゅうい	주위
収穫	しゅうかく	수확
終日	しゅうじつ	종일
就職	しゅうしょく	취직
就職率	しゅうしょくりつ	취직률
住宅街	じゅうたくがい	주택가
集中力	しゅうちゅうりょく	집중력
柔軟な	じゅうなんな	유연한
柔軟に	じゅうなんに	유연하게
収納	しゅうのう	수납
充満	じゅうまん	"충만, 가득함"
宿泊	しゅくはく	숙박
取材	しゅざい	취재
首相	しゅしょう	수상
手術	しゅじゅつ	수술
主成分	しゅせいぶん	주성분
出世	しゅっせ	출세
出版	しゅっぱん	출판
出版社	しゅっぱんしゃ	출판사
首脳	しゅのう	"수뇌, 정상"
趣味	しゅみ	취미
寿命	じゅみょう	수영
主要	しゅよう	주요
準決勝	じゅんけっしょう	준결승
順調な	じゅんちょうな	순조로운
準備	じゅんび	준비
準優勝	じゅんゆうしょう	준우승
～賞	～しょう	~상
～状	～じょう	~상태
紹介	しょうかい	소개
蒸気	じょうき	증기
状況	じょうきょう	상황
条件	じょうけん	조건
正直な	しょうじきな	"정직한, 솔직한"
症状	しょうじょう	증상
上昇	じょうしょう	상승
生じる	しょうじる	"발생하다, 생기다"
招待	しょうたい	초대
招待状	しょうたいじょう	초대장
象徴	しょうちょう	상징
焦点	しょうてん	초점
商店街	しょうてんがい	상점가
衝突	しょうとつ	충돌
承認	しょうにん	승인
消費	しょうひ	소비
商品	しょうひん	상품
情報	じょうほう	정보
消防署	しょうぼうしょ	소방서
将来	しょうらい	장래
省略	しょうりゃく	생략
諸外国	しょがいこく	여러 외국
初期	しょき	초기
食欲	しょくよく	식욕
職場	しょくば	직장
諸国	しょこく	여러 나라
徐々に	じょじょに	서서히
食器類	しょっきるい	식기류
ショック		"쇼크, 충격"
初年度	しょねんど	"초년, 첫 년도"
初歩	しょほ	초보
署名	しょめい	서명
諸問題	しょもんだい	여러 문제
女優	じょゆう	여배우
所有	しょゆう	소유
処理	しょり	처리
資料	しりょう	자료
じろじろ		"빤히, 유심히"
進学率	しんがくりつ	진학률
真剣な	しんけんな	진지한
深刻な	しんこくな	심각한
心臓	しんぞう	심장
慎重な	しんちょうな	신중한
しばしば		"자주, 종종"
しばらく		잠시
深夜	しんや	심야
信用	しんよう	신용
信頼	しんらい	신뢰
人類	じんるい	인류
垂直	すいちょく	수직
水滴	すいてき	물방울
数年	すうねん	"여러 해, 수년"
隙	すき	"틈, 방심"
スキー場	スキーじょう	스키장
救う	すくう	"구하다, 구제하다"
優れる	すぐれる	"뛰어나다, 우수하다"
スケジュール		스케줄
涼しい	すずしい	시원하다
スタート		스타트
すっきり		"말쑥함, 상쾌함"
すなわち		즉
スピード		속도
スペース		공간
済ます	すます	"끝내다, 마치다"
すまない		미안하다
隅	すみ	"구석, 모퉁이"
スムーズ		"순조로움, 원활함"
スムーズに		순조롭게
ずるい		"치사하다, 교활하다"
鋭い	するどい	"날카롭다, 예리하다"
座る	すわる	앉다
精一杯	せいいっぱい	"힘껏, 있는 힘을 다해"
声援	せいえん	성원
性格	せいかく	성격
生活	せいかつ	생활
清潔な	せいけつな	청결한
成功	せいこう	성공
成功率	せいこうりつ	성공률
精算	せいさん	정산
政治	せいじ	정치
政治色	せいじしょく	정치색
せいぜい		기껏해야
成績	せいせき	성적
製造	せいぞう	제조
贅沢な	ぜいたくな	사치스러운
成長	せいちょう	성장
生徒	せいと	"학생 (초, 중, 고)"
政党	せいとう	정당
製品	せいひん	제품
成分	せいぶん	성분
責任	せきにん	책임
世間	せけん	"세간, 세상"
せっかく		모처럼
積極的な	せっきょくてきな	적극적인
接する	せっする	접하다
設備	せつび	설비
節約	せつやく	절약
背中	せなか	등
狭い	せまい	좁다
迫る	せまる	다가오다
せめて		적어도
責める	せめる	"탓하다, 책망하다"
前社長	ぜんしゃちょう	전 사장
戦争	せんそう	전쟁
選択	せんたく	선택
前町長	ぜんちょうちょう	전 마을 대표
専念	せんねん	전념
全般	ぜんぱん	"전반, 전체"
線路沿い	せんろぞい	기찻길 옆
相違	そうい	"상이함, 다름"
そういえば		그러고 보니
総売上	そううりあげ	"매상 총액, 판매액"
総額	そうがく	총액
相互	そうご	"상호, 서로"
操作	そうさ	조작
送信元	そうしんもと	"송신원, 발신지"
総人口	そうじんこう	총인구
想像	そうぞう	상상
騒々しい	そうぞうしい	"시끄럽다, 떠들썩하다"
装置	そうち	장치
相当	そうとう	상당히
即座に	そくざに	"즉각, 당장"
続出	ぞくしゅつ	속출
属する	ぞくする	"(단체) 속하다, 소속하다"
続々(と)	ぞくぞく(と)	"잇달아, 끊임없이"
底	そこ	"바닥, 밑"
素材	そざい	소재
組織	そしき	조직
そそっかしい		"덜렁대다, 경솔하다"
卒業	そつぎょう	졸업
そっくり		꼭 닮음
率直な	そっちょくな	솔직한
備える	そなえる	"갖추다, 대비하다"
それとも		그렇지 않으면
揃う	そろう	"갖추어지다, 모이다"
揃える	そろえる	(사이즈를) 맞추다
損	そん	손해
損害	そんがい	손해
尊敬	そんけい	존경
存在	そんざい	존재
尊重	そんちょう	존중
損得	そんとく	"손익, 손해와 이득"
退院	たいいん	퇴원
体格	たいかく	체격
退屈な	たいくつな	지루한
大した	たいした	"대단한, 특별한"
大臣	だいじん	"대신, 장관"
代表	だいひょう	대표
タイミング		타이밍
対立	たいりつ	대립
倒す	たおす	"쓰러뜨리다, 무너뜨리다"
互い	たがい	"서로, 상호"
炊く	たく	(밥을) 짓다
たくましい		늠름하다
蓄える	たくわえる	"저장하다, 비축하다"
多彩な	たさいな	다채로운
確か	たしか	아마
ただし		다만
直ちに	ただちに	"곧장, 즉시"
ただの		"단순한, 그저"
畳	たたみ	다다미
畳む	たたむ	"(이불, 옷 등을) 개다"
達する	たっする	"이르다, 도달하다"
たっぷり		"듬뿍, 많이"
たちまち		금세
妥当な	だとうな	타당
谷	たに	계곡
他人	たにん	타인
頼みづらい	たのみづらい	부탁하기 곤란하다
頼もしい	たのもしい	믿음직스럽다
束ねる	たばねる	"묶다, 통솔하다"
たびたび		"여러 번, 자주"
卵	たまご	"알, 달걀"
たまたま		"때마침, 우연히"
保つ	たもつ	(상태를) 유지하다
頼る	たよる	의지하다
～だらけ		~투성이
だらしない		"단정하지 않다, 칠칠치 못하다"
単純な	たんじゅんな	단순한
団体	だんたい	단체
担当者	たんとうしゃ	담당자
単なる	たんなる	단순한
チーム		팀
知恵	ちえ	지혜
地球	ちきゅう	지구
遅刻	ちこく	지각
知識	ちしき	지식
縮む	ちぢむ	줄어들다
縮める	ちぢめる	"줄이다, 움츠리다"
着々と	ちゃくちゃくと	"척척, 착착"
チャンス		"찬스, 기회"
ちゃんと		"제대로, 정확하게"
中継	ちゅうけい	중계
駐車	ちゅうしゃ	주차
駐車場	ちゅうしゃじょう	주차장
抽象的な	ちゅうしょうてきな	추상적인
抽選	ちゅうせん	추첨
中断	ちゅうだん	중단
注目	ちゅうもく	주목
～兆	～ちょう	~조
超過	ちょうか	초과
調査	ちょうさ	조사
頂上	ちょうじょう	정상
調節	ちょうせつ	조절
頂点	ちょうてん	"꼭대기, 정상"
直接	ちょくせつ	직접
直前	ちょくぜん	직전
著者	ちょしゃ	저자
貯蔵	ちょぞう	저장
散らかす	ちらかす	어지르다
散らかる	ちらかる	"흩어지다, 널브러지다"
治療	ちりょう	치료
追加	ついか	추가
ついている		행운이 따르다
通行	つうこう	동행
通じない	つうじない	통하지 않다
使い道	つかいみち	"용도, 쓸모"
疲れ	つかれ	피로
疲れる	つかれる	피곤하다
次々と	つぎつぎと	"잇달아, 차차"
尽きる	つきる	"다하다, 떨어지다, 끝나다"
机	つくえ	책상
伝える	つたえる	전하다
続く	つづく	"계속되다, 이어지다"
包む	つつむ	"싸다, 포장하다"
努める	つとめる	"노력하다, 힘쓰다"
務める	つとめる	"임무를 맡다, 역할을 다하다"
常に	つねに	"항상, 늘"
つまずく		"발에 걸려 넘어지다, 실패하다"
詰まる	つまる	막히다
積む	つむ	"(짐, 경력 등을) 쌓다, 싣다"
強火	つよび	센 불
強み	つよみ	"강점, 유리한 점"
辛い	つらい	괴롭다
抵抗	ていこう	저항
低価格	ていかかく	낮은 가격
低カロリー	ていカロリー	저칼로리
提供	ていきょう	제공
訂正	ていせい	정점
手軽な	てがるな	"손쉬운, 간단한"
適切な	てきせつな	적절한
適度な	てきどな	"적당한, 적절한"
テクニック		"테크닉, 기술"
手頃な	てごろな	적당한
デザイン		디자인
でたらめに		"엉터리로, 아무렇게나"
鉄橋	てっきょう	절교
徹夜	てつや	"철야, 밤샘"
手間	てま	"수고, 품"
展開	てんかい	전개
転勤	てんきん	전근
点検	てんけん	점검
電車賃	でんしゃちん	전철 요금
伝統	でんとう	전통
添付	てんぷ	첨부
テンポ		"템포, 빠르기, 박자"
問い合わせる	といあわせる	문의하다
どうしても		"기어코, 꼭"
同情	どうじょう	동정
どうせ		어차피
到着	とうちゃく	도착
導入	どうにゅう	도입
投票率	とうひょうりつ	투표율
当分	とうぶん	당분간
逃亡	とうぼう	도망
動揺する	どうようする	동요하다
道路	どうろ	도로
登録	とうろく	등록
討論	とうろん	토론
都会育ち	とかいそだち	도시에서 자람
特殊	とくしゅ	특수
特色	とくしょく	특색
独特	どくとく	독특
登山	とざん	등산
途中	とちゅう	도중
とっくに		"훨씬 전에, 벌써"
突然	とつぜん	"돌연, 갑자기"
どっと		"왈칵, 왁자글"
届く	とどく	"도착하다, 이르다"
整う	ととのう	"갖추어지다, 정돈되다"
隣	となり	옆
飛び散る	とびちる	흩날리다
飛ぶ	とぶ	날다
乏しい	とぼしい	"(경험, 물자 등이) 부족하다"
伴う	ともなう	"동반하다, 따르다"
ドライブ		드라이브
とりあえず		"일단, 우선"
努力	どりょく	"노력하다, 힘쓰다"
トレーニング		"트레이닝, 훈련, 단련"
泥	どろ	진흙
とんでもない	とんでもない	당치 않다
内容	ないよう	내용
なお		"여전히, 더욱"
仲良く	なかよく	사이좋게
流れる	ながれる	흐르다
和やかな	なごやかな	온화한
なだらかな		완만한
懐かしい	なつかしい	그립다
納得	なっとく	납득
夏休み明け	なつやすみあけ	여름방학이 끝난 직후
波	なみ	파도
涙	なみだ	눈물
悩む	なやむ	고민하다
倣う	ならう	"따르다, 모방하다"
慣れる	なれる	"익숙해지다, 습관이 되다"
何度も	なんども	"몇 번이나, 자주, 종종"
苦手な	にがてな	"서투름, 잘 못함, 어색함"
握る	にぎる	"쥐다, 잡다"
憎い	にくい	밉다
憎む	にくむ	"미워하다, 증오하다"
逃げる	にげる	도망치다
濁る	にごる	"흐려지다, 탁해지다"
日課	にっか	일과
にっこり		빙긋이
日中	にっちゅう	"주간, 낮"
鈍い	にぶい	"둔하다, 굼뜨다"
日本式	にほんしき	일본식
日本流	にほんりゅう	일본류
盗む	ぬすむ	훔치다
塗る	ぬる	"바르다, 칠하다"
願う	ねがう	바라다
熱演	ねつえん	열연
年中	ねんじゅう	"연중, 항상"
年代順	でんだいじゅん	연대순
年齢	ねんれい	"나이, 연령"
残る	のこる	남다
除く	のぞく	"제거하다, 제외하다"
ノック		노크
述べる	のべる	"서술하다, 말하다"
乗り越す	のりこす	(내릴 곳을) 지나치다
乗り継ぐ	のりつぐ	갈아타다
のんびり		"느긋함, 태평함"
歯	は	"이, 치아"
ハード		힘듦
