垢	あか	"때, 물때"	
恥	はじ	"부끄러움, 수치, 치욕, 창피"	
旗	はた	깃발	
罰	ばつ	벌	
果て	はて	"끝, 말로"	
浜	はま	"호숫가, 바닷가"	
班	はん	"반, 조"	
判	はん	도장	
碑	ひ	"비, 비석, 비문"	
票	ひょう	"표, 명찰, 쪽지"	
封	ふう	봉함	
房	ふさ	① (여러 가닥의 실로 만든) 술 ② (포도 등의) 송이	
節	ふし	"마디, 관절"	
札	ふだ	"표찰, 표"	
穂	ほ	이삭	
蛍	ほたる	"개똥벌레, 반디"	
堀	ほり	"수로, (성 둘레에 판) 해자"	
膜	まく	막	
誠	まこと	"진실, 사실, 진심"	
招き	まねき	"초대, 초빙, 초청"	
眉	まゆ	눈썹	
幹	みき	나무의 줄기	
源	みなもと	"수원, 기원, 근원"	
峰	みね	봉우리	
脈	みゃく	"맥, 맥박"	
婿	むこ	사위	
群れ	むれ	"떼, 무리"	
雌	めす	동물의 암컷	
喪	も	"상, 상중"	
矢	や	화살	
闇	やみ	어둠	
優	ゆう	"남보다 뛰어남, (성적) 우"	
弓	ゆみ	활	
世	よ	세상	
欲	よく	욕심	
愛嬌	あいきょう	애교	
愛顧	あいこ	애고(아끼고 돌보아 줌)	
愛惜	あいせき	"애석, 아쉬워함"	
合席	あいせき	"합석, 동석"	
愛想	あいそう・あいそ	"붙임성, 정나미"	
間柄	あいだがら	"관계, 사이"	
合間	あいま	"틈, 짬"	
悪事	あくじ	"나쁜 짓, 악행"	
悪化	あっか	악화	
斡旋	あっせん	"알선, 주선"	
圧倒	あっとう	압도	
圧力	あつりょく	압력	
油絵	あぶらえ	유화	
雨具	あまぐ	우비(우산 · 비옷 등)	
有様	ありさま	"꼴, 모양, 상태"	
暗殺	あんさつ	암살	
暗算	あんざん	암산	
暗示	あんじ	암시	
安静	あんせい	안정	
暗黙	あんもく	암묵	
家柄	いえがら	"집안, 가문"	
家路	いえじ	"(집으로의) 귀로, 귀가"	
家出	いえで	가출	
異議	いぎ	이의	
依拠	いきょ	의거	
育成	いくせい	육성	
幾多	いくた	"많음, 다수"	
異見	いけん	이견	
威厳	いげん	위엄	
意向	いこう	의향	
委細	いさい	자세한 사정	
異彩	いさい	이채	
遺産	いさん	유산	
意地	いじ	고집	
移住	いじゅう	이주	
萎縮	いしゅく	위축	
衣装	いしょう	의상	
異常	いじょう	이상(함)	
依存	いそん・いぞん	의존	
委託	いたく	위탁	
一時	いちじ	"한동안, 한때, 잠시"	
一途	いちず	"외곬, 한결같음"	
一抹	いちまつ	"일말, 아주 약간"	
一目	いちもく	"한 번 봄, 슬쩍 봄"	
一躍	いちやく	일약	
一様	いちよう	"똑같음, 한결같음"	
一括	いっかつ	일괄	
一気	いっき	"한 번의 호흡, 단숨"	
一挙	いっきょ	"일거, 한 번의 행동"	
一色	いっしょく	"일색, ~뿐임"	
一斉	いっせい	"일제, 동시"	
一掃	いっそう	"일소, 한꺼번에 없앰"	
一帯	いったい	일대	
逸品	いっぴん	"일품, 걸작품"	
一変	いっぺん	"일변, 완전히 달라짐"	
逸話	いつわ	일화	
稲光	いなびかり	번개	
稲妻	いなずま	번개	
威力	いりょく	위력	
衣類	いるい	의류	
違和感	いわかん	위화감	
印鑑	いんかん	인감	
隠居	いんきょ	은거	
咽喉	いんこう	"인후, 목, 목구멍"	
印象	いんしょう	인상	
引率	いんそつ	인솔	
隠蔽	いんぺい	음폐	
陰謀	いんぼう	음모	
有無	うむ	유무	
浮気	うわき	바람기	
運営	うんえい	운영	
運賃	うんちん	운임	
云々	うんぬん	운운	
運搬	うんぱん	운반	
運輸	うんゆ	운수	
運用	うんよう	운용	
衛星	えいせい	위성	
衛生	えいせい	위생	
英断	えいだん	영단(지혜롭게 결당함)	
英知	えいち	"예지, 뛰어난 지혜"	
鋭敏	えいびん	예민(함)	
英雄	えいゆう	영웅	
栄養	えいよう	영양	
笑顔	えがお	웃는 얼굴	
疫病	えきびょう	"역병, 돌림병"	
会釈	えしゃく	가볍게 인사함	
会得	えとく	터득	
獲物	えもの	"어획물, 사냥감"	
縁側	えんがわ	툇마루	
沿岸	えんがん	연안	
演劇	えんげき	연극	
遠征	えんせい	원정	
沿線	えんせん	"연선, (버스 · 지하철의) 노선 주변"	
縁談	えんだん	혼담	
応急	おうきゅう	응급	
横行	おうこう	"횡행, 활개침, 난무함"	
黄金	おうごん	황금	
往診	おうしん	왕진	
大口	おおぐち	"큰 입, 큰소리, 거액"	
大損	おおぞん	큰 손해	
お菓子	おかし	과자	
汚職	おしょく	"독직, 공직자의 비리"	
汚辱	おじょく	"오욕, 수치"	
恩恵	おんけい	은혜	
温暖	おんだん	온난	
穏便	おんびん	"온당하고 원만함, 모나지 않음"	
改悪	かいあく	개약(고쳐서 도리어 나빠지게 함)	
海運	かいうん	해운	
外貨	がいか	외화	
外観	がいかん	외관	
階級	かいきゅう	계급	
快挙	かいきょ	쾌거	
介護	かいご	간호	
悔恨	かいこん	"회한, 뉘우침"	
開墾	かいこん	개간	
解釈	かいしゃく	해석	
回収	かいしゅう	회수	
懐柔	かいじゅう	회유	
解消	かいしょう	해소	
改善	かいぜん	개선	
階層	かいそう	계층	
慨嘆	がいたん	개탄	
改築	かいちく	개축	
海中	かいちゅう	바다 속	
懐中	かいちゅう	"회중, 주머니 속"	
回虫	かいちゅう	회충	
害虫	がいちゅう	해충	
改訂	かいてい	개정	
街頭	がいとう	"가두, 길거리"	
概念	がいねん	개념	
外泊	がいはく	외박	
海抜	かいばつ	해발	
解放	かいほう	개방	
介抱	かいほう	"간호, 병구완"	
快方	かいほう	(병의) 차도	
解剖	かいぼう	해부	
開幕	かいまく	개막	
皆無	かいむ	"전무, 전혀 없음"	
概要	がいよう	개요	
外来	がいらい	외해	
回覧	かいらん	회람	
海流	かいりゅう	해류	
課外	かがい	과외(정해진 학과 · 과정 이외)	
学芸	がくげい	학예	
格差	かくさ	격차	
拡散	かくさん	확산	
隔週	かくしゅう	격주	
拡充	かくじゅう	확충	
確信	かくしん	확신	
覚醒	かくせい	각성	
学説	がくせつ	학설	
確定	かくてい	확정	
獲得	かくとく	획득	
楽譜	がくふ	악보	
格別	かくべつ	각별함	
確保	かくほ	확보	
革命	かくめい	혁명	
隔離	かくり	격리	
確率	かくりつ	확률	
確立	かくりつ	확립	
家計	かけい	"가계, 생계"	
加減	かげん	"가감, 조절"	
仮説	かせつ	가설	
河川	かせん	하천	
化繊	かせん	화학섬유	
課題	かだい	과제	
片言	かたこと	"한마디의 말, 서투른 말씨"	
家畜	かちく	가축	
割愛	かつあい	할애	
喝采	かっさい	갈채	
合唱	がっしょう	합창	
合奏	がっそう	합주	
合点	がってん	"납득, 수긍"	
過度	かど	과도(정도에 지나침)	
過渡期	かとき	과도기	
株価	かぶか	주가	
株式	かぶしき	주식	
貨幣	かへい	화폐	
過労	かろう	과로	
含意	がんい	함의(어떤 일에 특별한 뜻을 가지게 함)	
眼科	がんか	안과	
眼球	がんきゅう	"안구, 눈알"	
感激	かんげき	감격	
看護	かんご	간호	
刊行	かんこう	간행	
慣行	かんこう	관행	
勧告	かんこく	권고	
監査	かんさ	감사	
換算	かんさん	환산	
監視	かんし	감시	
慣習	かんしゅう	관습	
観衆	かんしゅう	관중	
完熟	かんじゅく	"완숙, 완전히 익음"	
願書	がんしょ	원서	
干渉	かんしょう	간섭	
勘定	かんじょう	"계산, 셈"	
歓声	かんせい	환성	
関税	かんぜい	관세	
岩石	がんせき	암석	
感染	かんせん	감염	
観測	かんそく	관측	
観点	かんてん	관점	
感度	かんど	감도	
勘当	かんどう	의절	
元年	がんねん	원년	
看板	かんばん	간판	
完備	かんび	오나비	
幹部	かんぶ	간부	
勘弁	かんべん	용서함	
感銘	かんめい	감명	
慣用	かんよう	관용(습관적으로 자주 씀)	
寛容	かんよう	관용(너그러움)	
観覧	かんらん	관람	
官吏	かんり	관리	
官僚	かんりょう	관료	
慣例	かんれい	관례	
還暦	かんれき	환갑	
議案	ぎあん	의안	
気概	きがい	기개	
企画	きかく	기획	
季刊	きかん	계간	
器官	きかん	(호흡 · 소화 등의) 기관	
棄却	ききゃく	기각	
帰京	ききょう	귀경	
基金	ききん	기금	
喜劇	きげき	희극	
議決	ぎけつ	의결	
危険	きけん	위험	
棄権	きけん	기권	
起源	きげん	기원	
機構	きこう	(조직의) 기구	
気心	きごころ	본래의 성질이나 생각	
記載	きさい	기재(적어 넣음)	
機材	きざい	기재(기계와 자재)	
器材	きざい	기재(기구와 재료)	
気質	きしつ	"기질, 성향"	
期日	きじつ	기일	
記述	きじゅつ	기술	
気象	きしょう	기상	
気性	きしょう	기일	
偽証	ぎしょう	위증	
傷跡	きずあと	"상처 자국, 흉"	
帰省	きせい	귀성	
既成	きせい	기성	
規制	きせい	규제	
犠牲	ぎせい	희생	
奇跡	きせき	기적	
軌跡	きせき	궤적	
寄贈	きぞう・きそう	기증	
偽造	ぎぞう	위조	
規則	きそく	규칙	
貴族	きぞく	귀족	
議題	ぎだい	의제	
喫煙	きつえん	흡연	
詰問	きつもん	힐문(나무라고 따짐)	
規定	きてい	규정	
起点	きてん	기점	
危篤	きとく	"위독, 중태"	
技能	ぎのう	기능(기술적인 재능)	
気迫	きはく	기백	
気風	きふう	기풍	
期末	きまつ	기말	
義務	ぎむ	의무	
規約	きやく	규약	
脚色	きゃくしょく	각색	
逆接	ぎゃくせつ	역접	
逆転	ぎゃくてん	역전	
逆流	ぎゃくりゅう	역류	
客観	きゃっかん	객관	
逆境	ぎゃっきょう	역경	
救援	きゅうえん	구원	
究極	きゅうきょく	궁극	
球根	きゅうこん	"구근, 알뿌리"	
救済	きゅうさい	구제	
給仕	きゅうじ	"급사, 사환"	
吸収	きゅうしゅう	흡수	
給食	きゅうしょく	급식	
休戦	きゅうせん	휴전	
宮殿	きゅうでん	궁전	
旧弊	きゅうへい	"구습에서 오는 폐단, 생각이 고루함"	
急変	きゅうへん	급변	
窮乏	きゅうぼう	궁핍	
急務	きゅうむ	"급선무, 급한 일"	
究明	きゅうめい	"구명, 규명"	
休養	きゅうよう	휴양	
驚異	きょうい	경이	
脅威	きょうい	위협	
教科	きょうか	교과	
協会	きょうかい	협회	
共感	きょうかん	공감	
協議	きょうぎ	협의	
供給	きょうきゅう	공급	
境遇	きょうぐう	"경우, 처지, 형편"	
強行	きょうこう	강행	
凶作	きょうさく	흉작	
業者	ぎょうしゃ	업자	
享受	きょうじゅ	"향수, 누림"	
業種	ぎょうしゅ	업종	
教習	きょうしゅう	교습	
郷愁	きょうしゅう	향수(고향을 그리는 마음)	
恐縮	きょうしゅく	죄송스럽게 여김	
供述	きょうじゅつ	"공술, 진술"	
教職	きょうしょく	교직	
強制	きょうせい	강제	
行政	ぎょうせい	행정	
共存	きょうそん・きょうぞん	공존	
境地	きょうち	경지	
協調	きょうちょう	협조	
協定	きょうてい	협정	
郷土	きょうど	향토	
脅迫	きょうはく	협박	
業務	ぎょうむ	업무	
共鳴	きょうめい	"① 공영, 공진 ② 공감함"	
供与	きょうよ	"공여, 제공"	
郷里	きょうり	"향리, 고향"	
局限	きょくげん	국한	 
極限	きょくげん	극한	
局面	きょくめん	"국면, 형세"	
挙行	きょこう	거행	
挙式	きょしき	"거식, 결혼식을 올림"	
居住	きょじゅう	거주	
拒絶	きょぜつ	거절	
漁船	ぎょせん	어선	
漁村	ぎょそん	어촌	
許容	きょよう	허용	
巨利	きょり	큰 이익	
義理	ぎり	의리	
気流	きりゅう	기류	
疑惑	ぎわく	의혹	
近眼	きんがん	근시	
禁忌	きんき	금기	
緊急	きんきゅう	긴급	
近郊	きんこう	근교	
均衡	きんこう	균형	
筋骨	きんこつ	"근골, 체격"	
僅差	きんさ	근소한 차이	
緊縮	きんしゅく	긴축	
筋肉	きんにく	근육	
近年	きんねん	"근년, 근래"	
勤勉	きんべん	근면	
勤労	きんろう	근로	
偶然	ぐうぜん	우연	
空腹	くうふく	공복	
寓話	ぐうわ	우화	
草花	くさばな	화초	
駆除	くじょ	구제(몰아내 없앰)	
苦戦	くせん	고전	
屈折	くっせつ	굴절	
苦杯	くはい	"고배, 쓴 잔, 쓰라린 경험"	
暗闇	くらやみ	"어둠, 어두운 곳"	
軍艦	ぐんかん	군함	
群集	ぐんしゅう	군집	
軍縮	ぐんしゅく	"군축, 군비 축소"	
経緯	けいい	경위	
経験	けいけん	경험	
軽減	けいげん	경감	
警護	けいご	경호	
携行	けいこう	"가지고 다님, 휴대"	
迎合	げいごう	영합(남의 마음에 들도록 힘씀)	
警告	けいこく	경고	
警察	けいさつ	경찰	
軽視	けいし	경시	
形成	けいせい	형성	
形跡	けいせき	"흔적, 자취"	
軽装	けいそう	"경장, 간편한 옷차림"	
形態	けいたい	형태	
境内	けいだい	(신사 · 절의) 경내	
啓発	けいはつ	계발	
刑罰	けいばつ	형벌	
警部	けいぶ	경부(우리 나라의 경장에 상당)	
計略	けいりゃく	계략	
激減	げきげん	"격감, 극감"	
劇団	げきだん	극단	
撃墜	げきつい	격추	
激怒	げきど	격노	
決意	けつい	결의	
結核	けっかく	결핵	
血管	けっかん	혈관	
決議	けつぎ	결의	
欠勤	けっきん	결근	
決行	けっこう	결행	
結合	けつごう	결합	
月謝	げっしゃ	"월사(금), 사례금"	
決勝	けっしょう	결승	
結晶	けっしょう	(눈이나 땀의) 결정	
結成	けっせい	결성	
潔白	けっぱく	결백	
月賦	げっぷ	월부	
欠乏	けつぼう	결핍	
結末	けつまつ	결말	
気配	けはい	"낌새, 기운"	
仮病	けびょう	꾀병	
家来	けらい	"가신, 하인, 부하"	
下痢	げり	설사	
険悪	けんあく	험악	
検挙	けんきょ	검거	
兼業	けんぎょう	겸업	
厳禁	げんきん	엄금	
権限	けんげん	권한	
現行	げんこう	현행	
健在	けんざい	건재	
検索	けんさく	검색	
原作	げんさく	원작	
検察	けんさつ	검찰	
検事	けんじ	검사	
厳守	げんしゅ	엄수	
元首	げんしゅ	(국가) 원수	
健勝	けんしょう	건승	
懸賞	けんしょう	현상(상금이나 상품을 내걸음)	
厳選	げんせん	엄선	
源泉	げんせん	원천	
元素	げんそ	원소	
幻想	げんそう	환상	
現像	げんぞう	(필름 등) 현상	
減速	げんそく	감속	
原則	げんそく	원칙	
減退	げんたい	감퇴	
見地	けんち	견지	
減点	げんてん	감점	
原典	げんてん	원전(기준이 되는 본래의 책)	
原点	げんてん	원점	
検討	けんとう	검토	
健闘	けんとう	건투	
原爆	げんばく	"원폭, 원자폭탄"	
原文	げんぶん	원문	
倹約	けんやく	"검약, 절약"	
原油	げんゆ	원유	
兼用	けんよう	겸용	
権力	けんりょく	권력	
言論	げんろん	언론	
行為	こうい	행위	
交易	こうえき	교역	
航海	こうかい	항해	
後悔	こうかい	후회	
公開	こうかい	공개	
抗議	こうぎ	항의	
合議	ごうぎ	합의	
恒久	こうきゅう	"항구, 영구"	
号泣	ごうきゅう	"소리를 높여서 욺, 통곡"	
皇居	こうきょ	황거(천황의 거처)	
好況	こうきょう	"호황, 호경기"	
鉱業	こうぎょう	광업	
興業	こうぎょう	흥업(새로이 사업을 일으킴)	
貢献	こうけん	공헌	
高原	こうげん	고원	
耕作	こうさく	경작	
工作	こうさく	"공작, 만듦"	
講習	こうしゅう	강습	
口述	こうじゅつ	구술	
控除	こうじょ	공제	
交渉	こうしょう	교섭	
更新	こうしん	갱신	
行進	こうしん	행진	
攻勢	こうせい	공세	
合成	ごうせい	합성	
公然	こうぜん	공공연함	
構想	こうそう	구상	
抗争	こうそう	항쟁	
拘束	こうそく	구속	
後退	こうたい	후퇴	
光沢	こうたく	광택	
豪邸	ごうてい	호화저택	
口頭	こうとう	"구두, 입으로 말함"	
講読	こうどく	강독	
購読	こうどく	구독	
荒廃	こうはい	황폐	
購買	こうばい	구매	
好評	こうひょう	호평	
降伏	こうふく	항복	
候補	こうほ	후보	
公募	こうぼ	공모	
傲慢	ごうまん	"오만함, 거만함"	
行楽	こうらく	행락	
効率	こうりつ	효율	
考慮	こうりょ	고려	
護衛	ごえい	호위	
互角	ごかく	"호각, 막상막하"	
顧客	こきゃく	고객	
極意	ごくい	"비법, (예도 · 무술의) 가장 심오한 경지"	
告訴	こくそ	고소	
告知	こくち	"고지, 알림, 통지"	
酷評	こくひょう	혹평	
国防	こくぼう	국방	
国有	こくゆう	"국유, 국가 소유"	
極楽	ごくらく	극락	
国連	こくれん	"국제연합, 유엔"	
心地	ここち	"기분, 마음"	
誤差	ごさ	오차	
孤児	こじ	고아	
固辞	こじ	고사(굳이 사양함)	
誇示	こじ	과시	
固執	こしつ	고집	
故障	こしょう	고장	
戸籍	こせき	호적	
骨子	こっし	"골자, 요점"	
事柄	ことがら	"사항, 일, 사물의 형편, 사정"	
孤独	こどく	고독	
粉々	こなごな	"산산이 부서짐, 산산조각"	
小幅	こはば	소폭	
碁盤	ごばん	바둑판	
古墳	こふん	고분	
雇用	こよう	고용	
古来	こらい	"고래, 예로부터"	
根幹	こんかん	근간	
懇願	こんがん	간원(간절히 원함)	
混血	こんけつ	혼혈	
根源	こんげつ	근원	
混雑	こんがつ	혼잡	
昏睡	こんすい	혼수(상태)	
昆虫	こんちゅう	곤충	
根底	こんてい	"근저, 밑바탕, 기초"	
混同	こんどう	혼동	
根本	こんぽん	근본	
混迷	こんめい	혼미	
混乱	こんらん	혼란	
災害	さいがい	재해	
才覚	さいかく	"재치, 기지"	
細菌	さいきん	세균	
細工	さいく	세공	
採掘	さいくつ	채굴	
採決	さいけつ	채결	
歳月	さいげつ	세월	
再建	さいけん	재건	
再現	さいげん	재현	
財源	ざいげん	재원	
採算	さいさん	채산	
財産	ざいさん	재산	
採取	さいしゅ	채취	
採集	さいしゅう	채집	
在職	ざいしょく	재직	
財政	ざいせい	재정	
在籍	ざいせき	"재적, 재학"	
採択	さいたく	채택	
栽培	さいばい	재배	
財布	さいふ	지갑	
細胞	さいぼう	세포	
催眠	さいみん	최면	
最良	さいりょう	"최선, 가장 좋음"	
裁量	さいりょう	재량	
差額	さがく	차액	
詐欺	さぎ	사기	
錯誤	さくご	착오	
作戦	さくせん	작전	
策略	さくりゃく	책략	
挫折	ざせつ	좌절	
雑貨	ざっか	잡화	
昨今	さっこん	"작금, 요즘"	
冊子	さっし	책자	
雑誌	ざっし	잡지	
刷新	さっしん	쇄신	
殺人	さつじん	살인	
殺到	さっとう	"쇄도, 밀려듦"	
座標	ざひょう	좌표	
作用	さよう	작용	
酸化	さんか	산화	
参画	さんかく	참획(계획에 참여함)	
山岳	さんがく	산악	
参観	さんかん	참관	
残金	ざんきん	잔금	
惨事	さんじ	참사	
産出	さんしゅつ	산출	
参照	さんしょう	참조	
残高	ざんだか	"잔고, 잔액"	
惨敗	ざんぱい・さんぱい	참패	
桟橋	さんばし	"선창, 부두"	
産物	さんぶつ	산물	
山脈	さんみゃく	산맥	
飼育	しいく	사육	
自営	じえい	자영	
歯科	しか	치과	
自我	じが	자아	
視覚	しかく	시각	
時期	じき	시기	
磁器	じき	자기(도자기)	
磁気	じき	자기(자석이 갖는 작용 · 성질)	
色彩	しきさい	"① 색채 ② 특색, 경향"	
資金	しきん	자금	
資源	しげん	자원	
思考	しこう	"사고, 생각"	
施工	しこう・せこう	시공	
施行	しこう	"시행, 실시"	
試行	しこう	시행(시험삼아 행함)	
志向	しこう	지향	
嗜好	しこう	기호	
時効	じこう	(공소)시효	
至極	しごく	"지극, 더없음, 극히"	
地獄	じごく	지옥	
示唆	しさ	시사	
時差	じさ	시차	
思索	しさく	사색	
資産	しさん	자산	
自首	じしゅ	자수	
自主	じしゅ	자주	
死傷	ししょう	사상(자)	
師匠	ししょう	"선생, 스승"	
辞職	じしょく	사직	
姿勢	しせい	자세	
視線	しせん	시선	
子息	しそく	자식	
持続	じぞく	지속	
子孫	しそん	자손	
事態	じたい	사태	
辞退	じたい	사퇴	
下心	したごころ	"본심, 저의, 속셈, 음모"	
下地	したじ	"준비, 기초, 소질"	
下火	したび	"불기운이 약해짐, 한고비 지남"	
実家	じっか	"생가, 친정"	
失格	しっかく	실격	
疾患	しっかん	질환	
質疑	しつぎ	질의	
失脚	しっきゃく	실각	
実況	じっきょう	실황	
実刑	じっけい	실형	
失言	しつげん	실언	
実権	じっけん	실권	
執行	しっこう	집행	
実在	じつざい	실재	
実質	じっしつ	실질	
𠮟責	しっせき	질책	
実践	じっせん	실천	
実態	じったい	실태	
失調	しっちょう	조화를 잃음	
師弟	してい	사제	
指摘	してき	지적	
老舗	しにせ	"노포, 오래된 점포"	
自腹	じばら	"자기 배, 자기 돈"	
自負	じふ	자부	
司法	しほう	사법	
志望	しぼう	지망	
脂肪	しぼう	지방	
始末	しまつ	"전말, 꼴, 모양"	
使命	しめい	사명	
指紋	しもん	지문	
釈然	しゃくぜん	석연(의혹이나 꺼림칙한 마음이 없음)	
視野	しや	시야	
社交	しゃこう	사교	
謝罪	しゃざい	사죄	
射殺	しゃさつ	사살	
謝辞	しゃじ	감사(사과)의 말	
謝絶	しゃぜつ	사절	
若干	じゃっかん	"약간, 어느 정도"	
邪魔	じゃま	방해	
砂利	じゃり	자갈	
車両	しゃりょう	차량	
収穫	しゅうかく	수확	
修学	しゅうがく	수학	
周期	しゅうき	주기	
就業	しゅうぎょう	취업	
襲撃	しゅうげき	습격	
秀作	しゅうさく	"수작, 걸작"	
修士	しゅうし	석사	
収支	しゅうし	수지	
重視	じゅうし	중시	
収縮	しゅうしゅく	수축	
重傷	じゅうしょう	중상	
就職	しゅうしょく	취직	
修飾	しゅうしょく	수식	
十全	じゅうぜん	만전(아주 완전함)	
終息	しゅうそく	종식	
従属	じゅうぞく	종속	
拾得	しゅうとく	습득	
就任	しゅうにん	취임	
従来	じゅうらい	종래	
修了	しゅうりょう	수료	
収録	しゅうろく	수록	
守衛	しゅえい	수위	
受給	じゅきゅう	수급(급여나 배급을 받음)	
需給	じゅきゅう	수급(수요와 공급)	
祝賀	しゅくが	축하	
淑女	しゅくじょ	숙녀	
縮小	しょくしょう	축소	
宿命	しゅくめい	숙명	
熟慮	じゅくりょ	"숙려, 숙고"	
熟練	じゅくれん	숙련	
手芸	しゅげい	수예	
主権	しゅけん	주권	
主催	しゅさい	주최	
種子	しゅし	종자	
主軸	しゅじく	주축	
主唱	しゅしょう	주창	
首相	しゅしょう	수상	
守勢	しゅせい	수세	
出帆	しゅっぱん	출범	
守備	しゅび	수비	
手法	しゅほう	수법	
授与	じゅよ	수여	
需要	じゅよう	수요	
受理	じゅり	수리(문서를 받아서 처리)	
樹立	じゅりつ	수립	
順境	じゅんきょう	순조로운 환경	
生涯	しょうがい	"생애, 평생"	
消去	しょうきょ	소거	
証言	しょうげん	증언	
小康	しょうこう	"소강, 조금 안정됨"	
照合	しょうごう	대조(하여 확인함)	
賞賛	しょうさん	칭찬	
焼死	しょうし	"소사, 타 죽음"	
上質	じょうしつ	"상질, 질이 좋음"	
成就	じょうじゅ	성취	
詳述	しょうじゅつ	"상술, 자세하게 진술함"	
症状	しょうじょう	증상	
精進	しょうじん	"정진, 전념"	
焦燥	しょうそう	초조	
消息	しょうそく	소식	
正体	しょうたい	정체	
証人	しょうにん	증인	
商売	しょうばい	장사	
譲歩	じょうほ	양보	
照明	しょうめい	조명	
消滅	しょうめつ	소멸	
上陸	じょうりく	상륙	
蒸留	じょうりゅう	증류	
除外	じょがい	제외	
所行・所業	しょぎょう	(나쁜) 소행	
職務	しょくむ	직무	
徐行	じょこう	서행	
所作	しょさ	"행위, 소행, 태도"	
所持	しょじ	소지	
触覚	しょっかく	촉각	
所定	しょてい	소정(정한 바)	
処罰	しょばつ	처벌	
書評	しょひょう	서평	
処分	しょぶん	처분	
庶民	しょみん	서민	
庶務	しょむ	서무	
書面	しょめん	서면	
時流	じりゅう	"시류, 그 시대의 경향"	
飼料	しりょう	사료	
視力	しりょく	시력	
指令	しれい	지령	
素人	しろうと	"풋내기, 아마추어"	
師走	しわす	"섣달, 음력 12월"	
進化	しんか	진화	
侵害	しんがい	침해	
新規	しんき	신규	
審議	しんぎ	심의	
心境	しんきょう	심경	
辛苦	しんく	쓰라린 고생	
神経	しんけい	신경	
進撃	しんげき	진격	
進行	しんこう	진행	
信仰	しんこう	신앙	
新興	しんこう	신흥	
進攻	しんこう	"진공, 진격"	
振興	しんこう	진흥	
親交	しんこう	친교	
侵攻	しんこう	침공	
新婚	しんこん	신혼	
審査	しんさ	심사	
震災	しんさ	"진재, 지진으로 인한 재해"	
紳士	しんし	신사	
真実	しんじつ	진실	
心中	しんじゅう	동반 자살	
伸縮	しんしゅく	신축(늘이고 줄임)	
心情	しんじょう	심정	
浸食	しんしょく	침식	
申請	しんせい	신청	
神聖	しんせい	신성	
真相	しんそう	진상	
陣地	じんち	진지	
新築	しんちく	신축(새로 지음)	
進展	しんてん	진전	
神殿	しんでん	"신전, 신사의 본전"	
振動	しんどう	진동	
信任	しんにん	신임	
信念	しんねん	신념	
神秘	しんぴ	신비	
新薬	しんやく	신약	
真理	しんり	진리	
侵略	しんりゃく	침략	
診療	しんりょう	진료	
進路	しんろ	진로	
素足	すあし	맨발	
水準	すいじゅん	수준	
随所	ずいしょ	"도처, 여기저기, 곳곳"	
