会う	あう	만나다
地図	ちず	지도
父	ちち	아버지
ちょうど		"마침, 꼭"
チョコレート		초콜릿
使う	つかう	"쓰다, 사용하다"
疲れる	つかれる	"피곤하다, 지치다"
付く	つく	켜지다
付ける	つける	켜다
詰まらない	つまらない	"재미없다, 시시하다"
冷たい	つめたい	차갑다
強い	つよい	강하다
手	て	손
テーブル		테이블
出かける	でかける	외출하다
手紙	てがみ	편지
デパート		백화점
でも		하지만
出る	でる	나가다
天気	てんき	날씨
電気	でんき	"전기, 불"
電車	でんしゃ	전철
電話	でんわ	전화
ドア		"문, 도어"
どういたしまして		천만의 말씀입니다
どうぞよろしく		잘 부탁합니다
動物	どうぶつ	동물
遠い	とおい	멀다
10日	とおか	10일
時々	ときどき	때때로
時計	とけい	시계
ところ		"곳, 장소"
図書館	としょかん	도서관
どちら		어느 쪽
隣	となり	"이웃, 옆"
飛ぶ	とぶ	날다
止まる	とまる	멈추다
友達	ともだち	친구
土曜日	どようび	토요일
取る	とる	"집다, 잡다"
ナイフ		"나이프, 칼"
中	なか	"안, 속, 중"
長い	ながい	길다
夏休み	なつやすみ	"여름 휴가, 여름 방학"
7000円	ななせんえん	7천 엔
70000円	ななまんえん	7만 엔
何語	なにご	어느 나라 말
7日	なのか	7일
名前	なまえ	이름
習う	ならう	배우다
並べる	ならべる	늘어놓다
何	なん・なに	무엇
何人	なんにん	몇 명
2回	にかい	2회
2階	にかい	2층
2冊	にさつ	2권
西	にし	서쪽
西側	にしがわ	"서쪽, 서쪽 방면"
2時間	にじかん	2시간
2時間半	にじかんはん	2시간 반
西口	にしぐち	서쪽 출입구
24時間	にじゅうよじかん	24시간
二百回	にひゃっかい	200회
日本語	にほんご	일본어
二万円	にまんえん	2만 엔
脱ぐ	ぬぐ	벗다
ネクタイ		넥타이
猫	ねこ	고양이
登る	のぼる	오르다
飲み物	のみもの	"음료, 마실 것"
飲む	のむ	마시다
乗る	のる	타다
歯	は	이
パーティー		파티
～杯	～はい	~잔
入る	はいる	들어가다
葉書	はがき	엽서
履く	はく	"(바지 등을) 입다, (신발을) 신다"
橋	はし	다리
初めて・始めて	はじめて	처음(으로)
初めに・始めに	はじめに	처음에
走る	はしる	달리다
バス		버스
二十歳	はたち	20살
働く	はたらく	일하다
八時	はちじ	8시
八万円	はちまんえん	8만 엔
花	はな	꽃
話	はなし	이야기
話す	はなす	이야기하다
バナナ		바나나
花見	はなみ	꽃구경
母	はは	어머니
早く	はやく	일찍
春	はる	봄
貼る	はる	붙이다
ハンカチ		손수건
半分	はんぶん	절반
ピアノ		피아노
東	ひがし	동쪽
東側	ひがしがわ	"동쪽, 동쪽 방면"
東口	ひがしぐち	동쪽 출입구
～匹	～ひき	~마리
弾く	ひく	"치다, 연주하다"
引く	ひく	"(감기에) 걸리다, 당기다, 끌다"
低い	ひくい	"낮다, (키가) 작다"
飛行機	ほこうき	비행기
暇	ひま	"시간, 틈"
左	ひだり	왼쪽
左側	ひだりがわ	좌측
人	ひと	사람
一つ	ひとつ	1개
一人	ひとり	1명
百	ひゃく	백(100)
百円	ひゃくえん	100엔
百人	ひゃくにん	100명
百本	ひゃっぽん	"100병, 100송이"
病院	びょういん	병원
病気	びょうき	병
広い	ひろい	넓다
プール		"수영장, 풀"
二つ	ふたつ	2개
二日	ふつか	2일
降る	ふる	"(눈, 비 등이) 내리다"
古い	ふるい	"낡다, 오래되다"
吹く	ふく	불다
ページ		페이지
下手な	へたな	"서투른, 잘 못하는"
便利な	べんりな	편리한
帽子	ぼうし	모자
ポケット		"포켓, 주머니"
欲しい	ほしい	"갖고 싶다, 원하다"
細い	ほそい	가늘다
ホテル		호텔
本	ほん	책
本屋	ほんや	"서점, 책방"
～枚	～まい	"~장, ~매"
毎朝	まいあさ	매일 아침
毎週	まいしゅう	매주
毎月	まいつき・まいげつ	매월
毎日	まいにち	매일
前	まえ	앞
曲がる	まがる	"돌다, 구부러지다"
また		"또, 다시"
まだ		아직
待つ	まつ	기다리다
まっすぐ		"곧장, 똑바로"
窓		"창, 창문"
磨く	みがく	닦다
蜜柑	みかん	귤
右	みぎ	오른쪽
短い	みじかい	짧다
水	みず	물
店	みせ	가게
見せる	みせる	보여주다
道	みち	길다
三つ目	みっつめ	세 번째
南	みなみ	남쪽
耳	みみ	귀
見る	みる	보다
六日	むいか	6일
六つ	むっつ	6개
目	め	눈
メートル		미터
もうすぐ		"머지않아, 이제 곧"
木曜日	もくようび	목요일
勿論	もちろん	물론
持つ	もつ	"가지다, 들다"
もっと		더
もらう		받다
野菜	やさい	채소
安い	やすい	싸다
休み	やすみ	"휴일, 방학"
休む	やすむ	쉬다
八つ	やっつ	8개
山	やま	산
郵便局	ゆうびんきょく	우체국
夕べ	ゆうべ	어젯밤
有名な	ゆうめいな	유명한
雪	ゆき	눈
ゆっくり		"천천히, 푹"
八日	ようか	8일
よく		"잘, 자주"
四人	よにん	4명
呼ぶ	よぶ	부르다
読む	よむ	읽다
夜	よる	밤
よろしく		잘 부탁해
弱い	よわい	약하다
四キロ	よんきろ	4킬로(미터)
ラーメン		라멘
来月	らいげつ	다음 달
来週	らいしゅう	다음 주
来年	らいねん	내년
ラジオ		라디오
立派な	りっぱな	훌륭하다
留学生	りゅうがくせい	유학생
料理	りょうり	요리
旅行	りょこう	여행
りんご		사과
冷蔵庫	れいぞうこ	냉장고
レストラン		레스토랑
練習	れんしゅう	연습
六時	ろくじ	6시
六千円	ろくせんえん	6천 엔
六年間	ろくねんかん	6년간
六本	ろっぽん	6분
ワイシャツ		와이셔츠
若い	わかい	젊다
忘れる	わすれる	"잊어버리다, 잊고 두고 오다"
渡す	わたす	"건네다, 주다"
渡る	わたる	건너다
悪い	わるい	나쁘다
